Gene_Symbol	logFC	p_val_adj	pv
PPP1R13B	-0.038936383	0.005	0.005
CLPS	-1.122159373	0.005	0.005
BCL2L1	-0.069129453	0.005	0.005
MMP13	-0.273795632	0.005	0.005
PDZD3	-0.703369233	0.005	0.005
ARFGAP1	-0.205032044	0.005	0.005
WNK4	-0.623718885	0.005	0.005
STARD5	-0.438995922	0.005	0.005
GYG1	-0.145749222	0.005	0.005
KAT2B	-0.035201899	0.005	0.005
COG2	0.086872937	0.005	0.005
CARD10	0.25097777	0.005	0.005
ABHD1	-0.187674378	0.005	0.005
ABAT	-0.640280442	0.005	0.005
RASSF6	-0.425792075	0.005	0.005
IMPA2	0.039683215	0.005	0.005
TRIM2	-0.353702736	0.005	0.005
NADSYN1	-0.542879207	0.005	0.005
NR2F6	0.017203958	0.005	0.005
FCSK	0.146268106	0.005	0.005
YIPF1	-0.219079341	0.005	0.005
PEX7	-0.076420787	0.005	0.005
ATXN10	0.326222605	0.005	0.005
PPARGC1B	0.190473549	0.005	0.005
ENTPD6	-0.223115451	0.005	0.005
NKX2-3	0.503401612	0.005	0.005
PIGX	-0.214326001	0.005	0.005
NR5A2	-0.3423132	0.005	0.005
OSBPL9	-0.012861531	0.005	0.005
PIGO	-0.094632445	0.005	0.005
SLC18B1	-0.434670857	0.005	0.005
HSD3B2	-1.28700804	0.005	0.005
PLAT	0.191931292	0.005	0.005
PSD4	-0.282619817	0.005	0.005
SLC25A35	-0.279870694	0.005	0.005
RARRES2	0.585644969	0.005	0.005
TUBB3	-0.704613232	0.005	0.005
A4GALT	0.222267509	0.005	0.005
APOO	-0.15511369	0.005	0.005
PDSS1	-0.359683965	0.005	0.005
PPIP5K1	-0.531488019	0.005	0.005
IL19	#N/A	0.005	0.005
CNTRL	-0.122328964	0.005	0.005
CCDC61	-0.417497218	0.005	0.005
HLX	0.048641044	0.005	0.005
ADAMTSL4	-0.113208405	0.005	0.005
AKAP7	-0.072777056	0.005	0.005
FLAD1	-0.163594877	0.005	0.005
ACY3	-0.759802471	0.005	0.005
TMC8	-0.769753386	0.005	0.005
ABCC10	-0.724546621	0.005	0.005
SYTL1	-0.95238944	0.005	0.005
BCAM	0.627408873	0.005	0.005
PHLDA3	-0.003764955	0.005	0.005
CCM2	0.127194983	0.005	0.005
TRIM36	-0.121396966	0.005	0.005
ISCA1	-0.110225153	0.005	0.005
TLDC2	-0.659548707	0.005	0.005
GRHL2	-0.071869518	0.005	0.005
SZT2	-0.288288431	0.005	0.005
TMEM100	-0.518790556	0.005	0.005
SEC16B	-0.255535687	0.005	0.005
SUSD2	-0.118623525	0.005	0.005
LGALS12	-0.000793416	0.005	0.005
CCND3	0.204021802	0.005	0.005
PTPN18	-0.56180649	0.005	0.005
PLCH2	-0.376264575	0.005	0.005
TRIM47	0.291597048	0.005	0.005
GCC1	-0.05024033	0.005	0.005
IQSEC2	-0.030226463	0.005	0.005
PARP16	-0.509648226	0.005	0.005
LEMD3	-0.11034836	0.005	0.005
HNF1A	-0.357331271	0.005	0.005
YIPF2	0.093999842	0.005	0.005
WFS1	0.116191802	0.005	0.005
ACADSB	0.039191241	0.005	0.005
GPX8	0.232705029	0.005	0.005
TMEM42	-0.345638074	0.005	0.005
PICK1	-0.419726598	0.005	0.005
WDR11	-0.098646279	0.005	0.005
TM7SF2	-0.367586078	0.005	0.005
TOP3B	-0.304764308	0.005	0.005
VPS33B	-0.246280817	0.005	0.005
RHOJ	0.420686054	0.005	0.005
DFFA	0.000614158	0.005	0.005
KCTD14	-0.087336991	0.005	0.005
ANTXR1	0.56177063	0.005	0.005
ARHGAP39	-0.555744252	0.005	0.005
PRAF2	0.216682151	0.005	0.005
PALM2AKAP2	-0.010669063	0.005	0.005
TAF1C	-0.253447436	0.005	0.005
KIF12	-0.220327598	0.005	0.005
LATS2	-0.015029432	0.005	0.005
TUBAL3	-0.552659028	0.005	0.005
RAD51D	-0.171057787	0.005	0.005
TPST1	0.43624954	0.005	0.005
CTU1	-0.008825253	0.005	0.005
CD36	0.722631203	0.005	0.005
KCNH3	-0.09908976	0.005	0.005
PACSIN1	-0.618095232	0.005	0.005
SCN7A	0.245581416	0.005	0.005
TINAG	-0.707798649	0.005	0.005
SLC7A4	-0.037592961	0.005	0.005
RGS4	-0.250121947	0.005	0.005
QRSL1	-0.19019384	0.005	0.005
ELMO2	0.297452448	0.005	0.005
COLEC12	0.705517644	0.005	0.005
RNF34	-0.004193687	0.005	0.005
MLST8	-0.22780132	0.005	0.005
IL33	1.146431897	0.005	0.005
AMOTL2	0.198658682	0.005	0.005
LMNTD2	-0.853639877	0.005	0.005
FAAH	-0.255787315	0.005	0.005
ZAN	-0.797321515	0.005	0.005
VARS2	0.074951914	0.005	0.005
ADCK2	-0.280381729	0.005	0.005
MFSD6L	-0.324245939	0.005	0.005
FCAMR	-0.544306355	0.005	0.005
ABCC5	-0.348699993	0.005	0.005
CAPN8	-0.596992792	0.005	0.005
CASP6	-0.141024885	0.005	0.005
FKBP7	-0.025710138	0.005	0.005
HTR3A	-0.625193259	0.005	0.005
SGSM1	-0.214425001	0.005	0.005
CRELD1	-0.405054256	0.005	0.005
ATP1B2	0.184922122	0.005	0.005
RAPGEF3	-0.303190262	0.005	0.005
SLC10A6	0.343007217	0.005	0.005
CTRB1	-5.546428257	0.005	0.005
PFAS	-0.00451613	0.005	0.005
SH3GL2	-0.572132846	0.005	0.005
LRP4	0.006988871	0.005	0.005
BCL6	-0.013659496	0.005	0.005
OSBPL10	-0.434549665	0.005	0.005
MLH1	-0.026596314	0.005	0.005
PHF21B	-0.18098655	0.005	0.005
DGCR8	-0.22153954	0.005	0.005
DDX28	-0.101966834	0.005	0.005
WHRN	-0.416640245	0.005	0.005
ALDH1A2	-0.104852567	0.005	0.005
TNFSF13	-0.124876172	0.005	0.005
AP1S2	-0.409146411	0.005	0.005
TMEM82	-1.040076633	0.005	0.005
GYPC	0.557052572	0.005	0.005
TRIM72	-0.150709836	0.005	0.005
LRRC32	1.250729746	0.005	0.005
ERCC2	-0.142881186	0.005	0.005
EIF4EBP3	-0.517346304	0.005	0.005
PECR	0.347928405	0.005	0.005
UNC5CL	0.539548735	0.005	0.005
TNFSF12	-0.134940539	0.005	0.005
SERHL2	-0.322570968	0.005	0.005
IPP	-0.105213407	0.005	0.005
CCDC102A	0.32118355	0.005	0.005
DUSP22	0.271015936	0.005	0.005
FICD	0.232809196	0.005	0.005
PTX3	#N/A	0.005	0.005
RSU1	0.049423842	0.005	0.005
ACKR1	0.541982288	0.005	0.005
COPS7B	-0.152947411	0.005	0.005
GHR	-0.078980354	0.005	0.005
CTRL	-0.077271723	0.005	0.005
SLCO3A1	0.335818596	0.005	0.005
CLIP4	0.046775619	0.005	0.005
SLC9A5	-0.458088201	0.005	0.005
GLT1D1	-0.64300942	0.005	0.005
SLC25A40	-0.865283208	0.005	0.005
TRPV2	0.270559291	0.005	0.005
RITA1	-0.06867633	0.005	0.005
CDK20	-0.232338116	0.005	0.005
ORM2	#N/A	0.005	0.005
GRB10	0.165793988	0.005	0.005
TAF9B	0.110616917	0.005	0.005
SPATA2L	-0.405358691	0.005	0.005
BSN	-0.293289537	0.005	0.005
ARMCX2	0.088500931	0.005	0.005
AGBL5	-0.16556106	0.005	0.005
RASL12	-0.25899283	0.005	0.005
WARS2	0.164161777	0.005	0.005
RTKN	-0.425429916	0.005	0.005
STK32C	-0.202013012	0.005	0.005
BCL7A	-0.065060237	0.005	0.005
NTNG2	0.02801284	0.005	0.005
MAGEE1	-0.475320735	0.005	0.005
SYT4	-0.81336255	0.005	0.005
DYNC2LI1	-0.081957827	0.005	0.005
TSPAN5	0.514978825	0.005	0.005
PLD2	0.128755406	0.005	0.005
EFNA5	-0.12394887	0.005	0.005
SOSTDC1	0.341624632	0.005	0.005
DACT1	0.290389806	0.005	0.005
AFAP1L2	0.048151212	0.005	0.005
KCTD1	-0.172631835	0.005	0.005
TMEM144	-0.633286525	0.005	0.005
TBC1D32	-0.296986095	0.005	0.005
ZFP57	-0.066060775	0.005	0.005
HDAC9	0.317178976	0.005	0.005
NDUFA4L2	0.559168209	0.005	0.005
SHISA4	-0.47546529	0.005	0.005
RBMS3	-0.06716376	0.005	0.005
CAMKK2	0.345489162	0.005	0.005
LARGE2	-0.327884592	0.005	0.005
GNB4	0.252313337	0.005	0.005
VGF	-0.849775016	0.005	0.005
PHOX2A	-0.981646066	0.005	0.005
FKBP1B	-0.674847692	0.005	0.005
BHLHB9	-0.008834253	0.005	0.005
DHDH	0.08353294	0.005	0.005
RPL19	-0.606782502	0.005	0.005
LMF1	-0.174182216	0.005	0.005
WFDC12	#N/A	0.005	0.005
P2RX1	-0.665702577	0.005	0.005
TMEM241	-0.055889392	0.005	0.005
FAM20A	0.185021422	0.005	0.005
ANGPT2	0.150048976	0.005	0.005
AVPR1A	-0.651750094	0.005	0.005
PNLIP	-2.321875418	0.005	0.005
PID1	0.481964458	0.005	0.005
KRT80	0.850681912	0.005	0.005
LONRF3	-0.2824306	0.005	0.005
CNTFR	-0.179487874	0.005	0.005
CLEC10A	0.222822286	0.005	0.005
PRSS2	-4.483633206	0.005	0.005
MPP3	-0.766036255	0.005	0.005
PPP1R3D	-0.309204343	0.005	0.005
XKR6	-1.018509811	0.005	0.005
PLEKHD1	-0.92155065	0.005	0.005
GPR4	0.152725144	0.005	0.005
EMCN	0.082659911	0.005	0.005
DNER	-0.786188257	0.005	0.005
HSF4	-0.856051948	0.005	0.005
PMEL	-1.07825109	0.005	0.005
FAM217B	0.014167378	0.005	0.005
RIPPLY3	0.492727325	0.005	0.005
NGF	0.012277115	0.005	0.005
RAB30	0.082407829	0.005	0.005
ADORA2B	#N/A	0.005	0.005
PIANP	0.142140613	0.005	0.005
CNRIP1	#N/A	0.005	0.005
ADAMTS5	#N/A	0.005	0.005
VEGFD	-0.270878597	0.005	0.005
SH2B2	#N/A	0.005	0.005
VTN	0.245715504	0.005	0.005
ACTB	0.089094791	0.005	0.005
PIGR	0.31965374	0.005	0.005
IFITM2	0.779697163	0.005	0.005
FABP2	-0.933781916	0.005	0.005
MUC3A	-0.28371985	0.005	0.005
ATP2A3	0.244414278	0.005	0.005
HSD11B2	-0.07026206	0.005	0.005
GNAI2	0.130219273	0.005	0.005
CAP1	0.204218598	0.005	0.005
SMIM24	-0.713354591	0.005	0.005
CALML4	-0.382786613	0.005	0.005
IVNS1ABP	-0.377859118	0.005	0.005
MAOA	-0.675146908	0.005	0.005
TMEM176B	0.736286093	0.005	0.005
SLC9A3	-0.696363584	0.005	0.005
PAPSS2	-0.407516534	0.005	0.005
DPEP1	-0.91858109	0.005	0.005
SEMA4G	-0.781869311	0.005	0.005
ACP5	-0.165826563	0.005	0.005
H1-0	0.145687938	0.005	0.005
GPX3	0.668379213	0.005	0.005
RNF186	-0.336111586	0.005	0.005
YWHAB	0.140553482	0.005	0.005
TSTA3	0.193486566	0.005	0.005
NAGA	-0.201498493	0.005	0.005
SERPINH1	0.339454966	0.005	0.005
ADCY6	-0.398600912	0.005	0.005
TRPM4	-0.503490541	0.005	0.005
CYP27B1	-0.686491966	0.005	0.005
CRYL1	-0.514968878	0.005	0.005
ENTPD8	-0.823217848	0.005	0.005
TMEM171	-1.251953532	0.005	0.005
OCIAD2	-0.166760943	0.005	0.005
TFCP2L1	-0.365079477	0.005	0.005
SMIM22	-0.615258148	0.005	0.005
USH1C	-0.483878221	0.005	0.005
SMIM6	-0.250955207	0.005	0.005
PMM2	-0.124028058	0.005	0.005
PRKAR1A	0.18143789	0.005	0.005
SLC17A4	-1.281362155	0.005	0.005
BAIAP2L2	-0.510660066	0.005	0.005
ARL6IP5	0.133826223	0.005	0.005
HAO2	-1.067630316	0.005	0.005
MGST2	-1.004990527	0.005	0.005
SPDEF	0.261061559	0.005	0.005
REXO2	-0.00247836	0.005	0.005
KCNE3	0.263570808	0.005	0.005
NBL1	0.24785374	0.005	0.005
TSTD1	-0.489866075	0.005	0.005
VIPR1	-0.268082053	0.005	0.005
ALDOB	-0.925812654	0.005	0.005
PPP1R37	-0.209360527	0.005	0.005
ATP6AP1	-0.049334517	0.005	0.005
PLK1	-0.080775923	0.005	0.005
HOOK2	-0.471689702	0.005	0.005
SLC25A4	-0.071837847	0.005	0.005
APPL2	-0.749363693	0.005	0.005
PCSK7	-0.053640131	0.005	0.005
HGFAC	-0.071703166	0.005	0.005
NOXA1	0.016225897	0.005	0.005
CD81	0.178240046	0.005	0.005
TGM2	0.793515432	0.005	0.005
GALNT6	-0.133033225	0.005	0.005
ERN2	-0.117066068	0.005	0.005
SPACA4	-0.680639277	0.005	0.005
TMEM176A	0.765174297	0.005	0.005
STARD4	0.102320171	0.005	0.005
REP15	-0.653723727	0.005	0.005
PLLP	-0.555521741	0.005	0.005
CLUH	0.306886649	0.005	0.005
SFR1	0.140140902	0.005	0.005
HOXB9	-0.44564232	0.005	0.005
MAP7	-0.310718756	0.005	0.005
FOXD2	-0.060697283	0.005	0.005
STXBP2	-0.368147199	0.005	0.005
SLC40A1	-0.246478984	0.005	0.005
GOLGB1	-0.180379142	0.005	0.005
SLC12A7	0.05329932	0.005	0.005
CDC42BPG	-0.282631819	0.005	0.005
